T	T_Z	T_Z	T_U	T_M	PWM
01:15:44	81.67245	81.93839	25.54094	83.55103	0.02
01:15:44	81.67245	81.93839	25.59893	83.54492	0.02
01:15:45	81.67615	81.93839	25.54704	83.53271	0.02
01:15:46	81.67615	81.94958	25.58977	83.55103	0.02
01:15:46	81.67615	81.94958	25.56841	83.56323	0.02
01:15:47	81.6806	81.94958	25.5623	83.57544	0.02
01:15:47	81.6806	81.94958	25.60198	83.61206	0.02
01:15:48	81.6806	81.94958	25.58061	83.60596	0.02
01:15:48	81.6806	81.94958	25.58977	83.63647	0.02
01:15:49	81.6806	81.94958	25.55925	83.65479	0.02
01:15:49	81.67099	81.94958	25.60198	83.6792	0.02
01:15:50	81.67099	81.94958	25.58672	83.69751	0.02
01:15:50	81.67099	81.94958	25.62029	83.6792	0.02
01:15:51	81.67099	81.94958	25.5623	83.70972	0.02
01:15:51	81.67099	81.95032	25.55925	83.71582	0.02
01:15:52	81.67099	81.95032	25.55315	83.72192	0.02
01:15:52	81.66653	81.95032	25.59893	83.75244	0.02
01:15:53	81.66653	81.95032	25.62639	83.73413	0.02
01:15:53	81.66653	81.95181	25.62944	83.75854	0.02
01:15:54	81.66653	81.95181	25.61419	83.74023	0.02
01:15:54	81.66653	81.95181	25.62944	83.73413	0.02
01:15:55	81.65768	81.95181	25.58367	83.74023	0.02
01:15:55	81.65768	81.9675	25.58367	83.75854	0.02
01:15:56	81.65768	81.9675	25.57146	83.74023	0.02
01:15:56	81.66434	81.9675	25.60808	83.75244	0.02
01:15:57	81.66434	81.9675	25.57756	83.71582	0.02
01:15:57	81.66434	81.97272	25.63555	83.73413	0.02
01:15:58	81.66434	81.97272	25.5623	83.70972	0.02
01:15:58	81.668	81.97272	25.52263	83.69751	0.02
01:15:59	81.668	81.96823	25.57756	83.70972	0.02
01:15:59	81.668	81.96823	25.62029	83.70972	0.02
01:16:00	81.67392	81.96823	25.57451	83.72192	0.02
01:16:00	81.67392	81.96823	25.60198	83.69751	0.02
01:16:01	81.67392	81.93686	25.58061	83.69141	0.02
01:16:01	81.67392	81.93686	25.64165	83.6731	0.02
01:16:02	81.67392	81.93686	25.57451	83.66699	0.02
01:16:02	81.67099	81.93686	25.58367	83.66699	0.02
01:16:03	81.67099	81.93762	25.59893	83.66699	0.02
01:16:03	81.67099	81.93762	25.59282	83.63037	0.02
01:16:04	81.66803	81.93762	25.58061	83.63037	0.02
01:16:04	81.66803	81.95032	25.58061	83.60596	0.02
